symbol,momentum_score,trend_strength,directional_consistency,momentum_persistence,volatility,rank
TATAPOWER.NS,0.5684025293914601,0.018208486959338188,0.0033693069126456976,0.8737664222717285,0.0032424319069832563,1
APOLLOHOSP.NS,0.5680617121513933,0.004414307419210672,0.0025499998591840267,0.8902032971382141,0.0021572208497673273,2
PFC.NS,0.5625622225459666,0.03716202452778816,0.002787272911518812,0.828445315361023,0.004262497182935476,3
HCLTECH.NS,0.5596799844061024,0.006264270283281803,0.0012244615936651826,0.8584720492362976,0.0030632680281996727,4
RELIANCE.NS,0.552091347775422,0.008924207650125027,0.0016808609943836927,0.8300864100456238,0.001501163118518889,5
BANKBARODA.NS,0.5467005646787584,0.017140096053481102,0.0022792769595980644,0.8017610311508179,0.0031442223116755486,6
MARUTI.NS,0.5352454190375283,0.012132925912737846,0.001977121690288186,0.7699512839317322,0.0025944465305656195,7
ADANIGREEN.NS,0.5316387772327289,0.0374542661011219,0.0018523584585636854,0.7240425944328308,0.0038470386061817408,8
BRITANNIA.NS,0.5304395312559791,0.00475839339196682,0.0019261731067672372,0.7637134194374084,0.0022190865129232407,9
IRFC.NS,0.5240616145776584,0.009284170344471931,0.002309661591425538,0.7368028163909912,0.0034717752132564783,10
