date,open,high,low,close,volume
2024-04-01 09:15:00,619.4,620.95,614.1,614.7,379261
2024-04-01 09:30:00,615.2,618.1,613.3,615.2,152803
2024-04-01 09:45:00,615.55,616.9,614.9,616.0,45796
2024-04-01 10:00:00,616.1,618.35,615.35,617.25,95514
2024-04-01 10:15:00,617.25,622.75,616.9,622.4,209372
2024-04-01 10:30:00,622.75,625.75,622.25,623.65,630211
2024-04-01 10:45:00,623.85,624.95,621.35,623.0,254761
2024-04-01 11:00:00,623.0,623.8,621.8,622.1,118629
2024-04-01 11:15:00,622.1,624.0,621.4,622.5,110928
2024-04-01 11:30:00,622.5,623.6,621.6,622.1,59250
2024-04-01 11:45:00,622.1,622.6,621.25,622.3,80729
2024-04-01 12:00:00,622.3,623.45,622.0,622.65,39461
2024-04-01 12:15:00,622.65,623.2,621.25,621.9,65348
2024-04-01 12:30:00,621.9,622.9,621.5,622.7,47143
2024-04-01 12:45:00,622.7,622.8,621.3,622.8,77013
2024-04-01 13:00:00,622.8,622.8,621.4,621.65,42752
2024-04-01 13:15:00,621.65,622.5,621.35,621.75,41342
2024-04-01 13:30:00,621.75,623.0,621.5,622.4,66332
2024-04-01 13:45:00,622.5,625.0,622.0,624.1,98367
2024-04-01 14:00:00,624.1,625.85,623.9,624.5,166926
2024-04-01 14:15:00,624.55,626.5,624.5,625.7,153719
2024-04-01 14:30:00,626.0,626.65,625.0,625.9,268278
2024-04-01 14:45:00,625.65,625.85,621.2,621.3,200864
2024-04-01 15:00:00,621.3,622.0,620.55,621.35,259634
2024-04-01 15:15:00,621.05,624.5,621.05,624.0,289251
2024-04-02 09:15:00,622.0,625.0,619.65,622.5,203500
2024-04-02 09:30:00,622.0,627.95,622.0,627.7,194295
2024-04-02 09:45:00,627.7,628.0,620.0,620.5,229943
2024-04-02 10:00:00,620.5,622.4,619.8,620.0,76753
2024-04-02 10:15:00,620.0,622.65,619.8,622.1,89343
2024-04-02 10:30:00,622.4,624.4,621.95,623.65,103048
2024-04-02 10:45:00,623.65,624.0,621.0,621.85,177384
2024-04-02 11:00:00,621.85,624.15,621.0,624.0,70032
2024-04-02 11:15:00,624.15,625.0,623.65,624.85,48529
2024-04-02 11:30:00,624.85,624.95,623.9,624.25,31983
2024-04-02 11:45:00,624.25,624.4,623.6,624.15,35481
2024-04-02 12:00:00,624.15,625.0,622.7,624.9,84180
2024-04-02 12:15:00,624.9,626.0,624.85,625.8,163916
2024-04-02 12:30:00,625.8,626.7,625.5,625.85,81393
2024-04-02 12:45:00,625.85,626.35,624.1,625.0,104395
2024-04-02 13:00:00,625.0,625.7,623.0,623.65,99658
2024-04-02 13:15:00,623.65,623.8,621.35,623.8,113604
2024-04-02 13:30:00,623.8,624.9,622.1,624.1,96763
2024-04-02 13:45:00,624.1,624.7,622.1,622.35,87066
2024-04-02 14:00:00,622.35,626.4,622.15,625.85,243867
2024-04-02 14:15:00,625.5,626.0,624.0,625.2,78644
2024-04-02 14:30:00,625.15,625.5,623.4,623.8,80864
2024-04-02 14:45:00,623.8,634.0,623.6,634.0,946958
2024-04-02 15:00:00,633.95,637.1,632.4,633.75,631133
2024-04-02 15:15:00,633.75,637.0,633.55,636.0,414546
2024-04-03 09:15:00,632.0,632.95,627.55,628.35,415884
2024-04-03 09:30:00,627.7,631.95,626.5,630.1,139592
2024-04-03 09:45:00,630.1,634.7,630.05,634.4,165708
2024-04-03 10:00:00,634.35,639.85,633.65,637.7,525557
