date,open,high,low,close,volume
2024-04-01 09:15:00,249.79,251.29,248.92,249.69,901549
2024-04-01 09:30:00,249.69,251.77,249.4,250.37,663187
2024-04-01 09:45:00,250.37,251.19,250.27,251.0,245364
2024-04-01 10:00:00,251.0,251.63,250.66,251.34,225353
2024-04-01 10:15:00,251.39,251.97,250.42,251.48,363042
2024-04-01 10:30:00,251.48,251.92,251.19,251.48,272720
2024-04-01 10:45:00,251.39,251.48,250.52,250.85,149491
2024-04-01 11:00:00,250.85,251.34,250.61,250.95,163088
2024-04-01 11:15:00,251.1,251.19,249.89,249.98,227212
2024-04-01 11:30:00,249.94,250.47,249.6,250.42,203489
2024-04-01 11:45:00,250.42,250.76,249.98,250.27,201987
2024-04-01 12:00:00,250.32,250.42,249.79,249.79,99844
2024-04-01 12:15:00,249.79,250.18,249.69,250.08,125585
2024-04-01 12:30:00,250.08,250.27,249.84,249.89,92964
2024-04-01 12:45:00,249.89,249.98,248.97,249.07,381443
2024-04-01 13:00:00,249.11,249.98,249.02,249.84,408220
2024-04-01 13:15:00,249.79,250.27,249.69,250.03,233427
2024-04-01 13:30:00,250.03,250.37,249.94,250.18,169764
2024-04-01 13:45:00,250.32,251.05,250.18,250.52,291715
2024-04-01 14:00:00,250.61,250.81,250.47,250.66,147206
2024-04-01 14:15:00,250.66,250.71,250.08,250.08,113745
2024-04-01 14:30:00,250.08,250.61,250.08,250.42,240014
2024-04-01 14:45:00,250.42,250.81,250.13,250.47,309861
2024-04-01 15:00:00,250.37,250.76,250.27,250.47,471965
2024-04-01 15:15:00,250.47,250.85,250.18,250.32,647363
2024-04-02 09:15:00,250.76,251.87,250.27,251.58,702834
2024-04-02 09:30:00,251.68,252.21,251.19,251.58,575433
2024-04-02 09:45:00,251.72,252.69,250.95,250.95,654630
2024-04-02 10:00:00,250.95,251.72,250.37,250.61,304117
2024-04-02 10:15:00,250.66,251.29,250.18,250.85,296158
2024-04-02 10:30:00,250.85,252.21,250.66,252.21,561698
