date,open,high,low,close,volume
2024-04-01 09:15:00,205.0,206.7,203.75,205.85,6420003
2024-04-01 09:30:00,205.8,206.55,205.5,205.6,2160044
2024-04-01 09:45:00,205.65,207.6,205.6,207.15,2303115
2024-04-01 10:00:00,207.15,207.4,206.8,206.95,1072738
2024-04-01 10:15:00,207.0,207.15,206.55,206.75,1715748
2024-04-01 10:30:00,206.75,207.35,206.55,206.6,3514953
2024-04-01 10:45:00,206.65,206.8,205.9,206.0,905248
2024-04-01 11:00:00,206.0,206.4,205.75,206.35,1044309
2024-04-01 11:15:00,206.35,206.75,206.0,206.2,996420
2024-04-01 11:30:00,206.2,206.55,206.1,206.15,455901
2024-04-01 11:45:00,206.15,206.65,206.1,206.55,452235
2024-04-01 12:00:00,206.6,206.65,206.1,206.15,530303
2024-04-01 12:15:00,206.15,206.6,206.0,206.4,585078
2024-04-01 12:30:00,206.4,206.6,206.2,206.3,496151
2024-04-01 12:45:00,206.3,206.35,205.85,206.15,554089
2024-04-01 13:00:00,206.15,207.4,206.05,207.3,1027110
2024-04-01 13:15:00,207.3,207.7,206.8,206.85,1482275
2024-04-01 13:30:00,206.9,207.4,206.85,207.2,549971
2024-04-01 13:45:00,207.1,207.6,206.85,207.35,695495
2024-04-01 14:00:00,207.35,208.15,207.25,207.95,1777853
2024-04-01 14:15:00,208.05,208.75,207.85,208.65,2186984
2024-04-01 14:30:00,208.7,209.3,208.15,209.0,1755597
2024-04-01 14:45:00,209.0,210.25,208.9,209.45,3213901
2024-04-01 15:00:00,209.6,210.75,209.6,210.55,2476611
2024-04-01 15:15:00,210.6,212.75,210.5,211.7,7195078
2024-04-02 09:15:00,213.75,216.0,212.6,215.75,11303210
2024-04-02 09:30:00,215.7,219.35,214.95,218.7,8697419
2024-04-02 09:45:00,218.95,221.0,217.25,217.9,11770038
2024-04-02 10:00:00,217.9,221.4,217.85,220.9,8502775
2024-04-02 10:15:00,220.85,221.2,219.4,220.65,5529609
2024-04-02 10:30:00,220.6,222.1,220.15,222.1,5647718
2024-04-02 10:45:00,222.1,222.65,220.6,220.6,5413749
2024-04-02 11:00:00,220.75,220.8,219.4,219.4,2562090
2024-04-02 11:15:00,219.5,219.8,218.6,219.1,2771559
2024-04-02 11:30:00,219.1,220.8,219.05,220.05,2191533
2024-04-02 11:45:00,220.05,221.95,220.05,221.55,2570734
2024-04-02 12:00:00,221.55,221.6,220.75,221.5,1361033
2024-04-02 12:15:00,221.35,221.5,220.45,220.6,1032119
2024-04-02 12:30:00,220.55,221.6,220.5,221.4,1026384
2024-04-02 12:45:00,221.35,222.1,221.2,221.6,2187500
2024-04-02 13:00:00,221.5,222.5,221.5,222.05,2041611
2024-04-02 13:15:00,222.1,222.6,221.5,221.7,1795558
2024-04-02 13:30:00,221.85,222.1,221.5,221.75,1160780
2024-04-02 13:45:00,221.7,222.0,221.0,221.05,1507784
2024-04-02 14:00:00,220.95,221.8,220.55,221.7,2470237
2024-04-02 14:15:00,221.7,222.25,221.55,221.75,1826317
2024-04-02 14:30:00,221.85,222.0,221.5,221.95,1450331
2024-04-02 14:45:00,221.95,222.15,221.6,221.95,1677529
2024-04-02 15:00:00,221.95,222.05,220.35,220.85,2877753
2024-04-02 15:15:00,220.85,221.85,220.35,221.65,3975519
2024-04-03 09:15:00,221.7,223.35,218.95,221.35,7129754
2024-04-03 09:30:00,221.35,223.15,221.05,222.8,2355433
2024-04-03 09:45:00,222.9,225.45,222.8,225.2,5183492
2024-04-03 10:00:00,225.15,225.4,224.3,224.65,2648544
2024-04-03 10:15:00,224.65,224.65,223.5,224.0,1656199
2024-04-03 10:30:00,224.0,224.4,223.25,223.65,1219748
2024-04-03 10:45:00,223.75,223.8,222.9,223.4,1193421
2024-04-03 11:00:00,223.4,223.85,222.3,222.85,1245731
2024-04-03 11:15:00,222.95,223.0,222.2,222.7,702862
2024-04-03 11:30:00,222.7,222.7,218.85,219.9,7128926
2024-04-03 11:45:00,219.9,220.95,219.5,220.8,1607550
2024-04-03 12:00:00,220.7,221.65,220.65,221.4,1327677
2024-04-03 12:15:00,221.4,221.7,220.9,221.55,1009387
2024-04-03 12:30:00,221.65,222.1,221.5,221.75,1039642
2024-04-03 12:45:00,221.75,222.8,221.75,222.75,672330
2024-04-03 13:00:00,222.7,222.7,222.0,222.25,686020
2024-04-03 13:15:00,222.2,222.35,221.25,221.3,1107350
2024-04-03 13:30:00,221.3,221.5,220.85,221.1,1094128
2024-04-03 13:45:00,221.1,221.15,220.7,221.0,1698290
