date,open,high,low,close,volume
2024-04-01 09:15:00,421.2,423.4,419.55,421.5,612408
2024-04-01 09:30:00,421.45,422.4,419.35,420.1,364628
2024-04-01 09:45:00,420.25,422.3,420.15,421.5,312289
2024-04-01 10:00:00,421.5,424.15,421.35,423.9,472375
2024-04-01 10:15:00,424.05,425.8,423.6,425.7,548339
2024-04-01 10:30:00,425.6,427.05,425.4,426.0,506305
2024-04-01 10:45:00,426.05,426.25,424.9,425.5,244054
2024-04-01 11:00:00,425.6,426.1,425.05,425.85,164791
2024-04-01 11:15:00,426.05,426.4,425.4,426.1,159216
2024-04-01 11:30:00,426.05,426.1,425.35,425.55,127462
2024-04-01 11:45:00,425.5,426.1,425.15,426.1,153491
2024-04-01 12:00:00,426.05,426.55,425.45,425.5,209059
2024-04-01 12:15:00,425.5,426.3,425.5,426.2,139460
2024-04-01 12:30:00,426.2,426.8,426.05,426.7,152926
2024-04-01 12:45:00,426.55,427.25,424.55,425.45,287265
2024-04-01 13:00:00,425.45,426.35,425.0,426.1,179347
2024-04-01 13:15:00,426.2,426.95,425.95,426.85,152486
2024-04-01 13:30:00,426.75,427.85,426.65,427.4,280845
2024-04-01 13:45:00,427.4,427.5,426.1,427.1,174515
2024-04-01 14:00:00,427.2,427.65,426.3,426.3,205951
2024-04-01 14:15:00,426.35,427.7,426.3,427.25,213587
2024-04-01 14:30:00,427.25,428.05,425.7,426.45,316662
2024-04-01 14:45:00,426.4,426.8,426.3,426.4,358306
2024-04-01 15:00:00,426.4,426.95,426.3,426.45,369793
2024-04-01 15:15:00,426.55,426.85,425.5,426.35,525811
2024-04-02 09:15:00,426.35,431.75,423.2,431.3,1506083
2024-04-02 09:30:00,431.15,432.35,428.55,428.7,797280
2024-04-02 09:45:00,428.7,428.9,425.65,426.55,860847
2024-04-02 10:00:00,426.3,426.75,423.9,424.15,843759
2024-04-02 10:15:00,424.15,424.55,421.45,421.65,1148419
2024-04-02 10:30:00,421.65,424.1,420.55,423.4,589349
2024-04-02 10:45:00,423.3,423.8,422.0,422.75,307608
2024-04-02 11:00:00,422.75,425.0,422.15,424.2,312868
2024-04-02 11:15:00,424.15,425.35,424.05,424.15,236183
2024-04-02 11:30:00,424.05,426.2,423.75,425.7,357697
2024-04-02 11:45:00,425.7,427.0,425.65,426.1,250285
2024-04-02 12:00:00,425.95,426.85,425.7,426.75,229859
2024-04-02 12:15:00,426.6,426.8,425.2,425.35,189670
2024-04-02 12:30:00,425.3,426.65,424.65,426.05,351965
2024-04-02 12:45:00,425.85,426.1,424.9,425.35,210338
2024-04-02 13:00:00,425.35,425.4,424.15,424.15,207487
2024-04-02 13:15:00,424.3,425.95,423.6,425.75,257094
2024-04-02 13:30:00,425.8,428.2,425.35,427.3,359627
2024-04-02 13:45:00,427.2,427.45,426.35,427.05,243060
2024-04-02 14:00:00,427.05,427.6,426.6,427.5,232999
2024-04-02 14:15:00,427.35,427.6,426.8,427.35,241339
2024-04-02 14:30:00,427.35,427.7,427.15,427.3,253557
2024-04-02 14:45:00,427.3,427.55,427.1,427.3,299455
2024-04-02 15:00:00,427.3,428.1,427.3,427.85,533137
2024-04-02 15:15:00,427.8,427.8,426.85,427.5,677291
2024-04-03 09:15:00,427.45,428.6,425.25,426.6,548433
2024-04-03 09:30:00,426.3,430.95,426.25,429.3,693748
2024-04-03 09:45:00,429.35,430.8,429.0,429.85,357165
2024-04-03 10:00:00,429.85,430.55,429.2,430.45,282018
2024-04-03 10:15:00,430.45,430.65,427.95,428.6,291562
2024-04-03 10:30:00,428.7,431.1,428.3,430.95,412394
2024-04-03 10:45:00,431.1,431.1,429.65,430.1,383908
2024-04-03 11:00:00,430.1,430.35,428.8,429.35,173865
2024-04-03 11:15:00,429.4,429.95,428.95,429.7,169862
2024-04-03 11:30:00,429.85,430.15,429.0,429.9,135414
2024-04-03 11:45:00,429.9,429.95,428.95,429.35,102817
2024-04-03 12:00:00,429.35,429.8,429.0,429.75,74940
2024-04-03 12:15:00,429.75,430.2,429.0,430.05,212227
2024-04-03 12:30:00,430.05,430.65,429.7,430.4,450106
2024-04-03 12:45:00,430.4,430.65,430.15,430.45,97032
2024-04-03 13:00:00,430.45,430.9,430.0,430.0,334564
2024-04-03 13:15:00,430.0,430.15,429.2,429.6,427335
2024-04-03 13:30:00,429.75,430.0,429.35,429.8,101482
2024-04-03 13:45:00,429.8,430.85,429.6,429.95,221067
2024-04-03 14:00:00,429.95,430.65,429.3,430.2,149288
2024-04-03 14:15:00,430.2,430.4,429.85,430.15,123329
2024-04-03 14:30:00,430.15,430.15,429.55,429.9,145857
2024-04-03 14:45:00,429.9,429.9,428.7,429.05,221669
2024-04-03 15:00:00,429.05,429.95,428.7,429.4,260913
2024-04-03 15:15:00,429.45,430.35,428.85,430.35,570925
2024-04-04 09:15:00,434.0,435.0,431.65,432.3,1407765
2024-04-04 09:30:00,432.25,432.95,430.65,431.7,765001
2024-04-04 09:45:00,431.7,433.75,430.0,431.05,632849
2024-04-04 10:00:00,431.2,433.35,430.95,431.55,529410
2024-04-04 10:15:00,431.75,434.0,431.35,433.55,335292
2024-04-04 10:30:00,433.55,435.35,433.4,434.3,619210
2024-04-04 10:45:00,434.3,437.4,433.8,434.45,1759108
2024-04-04 11:00:00,434.45,434.7,431.4,433.0,689067
2024-04-04 11:15:00,432.8,435.25,432.55,434.5,438206
2024-04-04 11:30:00,434.5,434.9,433.1,434.25,315878
2024-04-04 11:45:00,434.45,434.5,430.95,431.2,371757
2024-04-04 12:00:00,431.2,431.3,426.85,427.2,789939
2024-04-04 12:15:00,427.2,428.9,426.85,428.15,396804
2024-04-04 12:30:00,428.15,430.9,428.05,430.8,560170
2024-04-04 12:45:00,430.8,432.0,430.4,430.75,469454
2024-04-04 13:00:00,431.1,431.7,430.1,430.45,281389
2024-04-04 13:15:00,430.5,432.3,430.05,432.3,410652
2024-04-04 13:30:00,432.15,432.75,431.7,432.1,336389
2024-04-04 13:45:00,432.1,433.55,432.05,432.75,467008
2024-04-04 14:00:00,432.9,434.4,432.75,433.75,472066
2024-04-04 14:15:00,433.75,433.95,432.45,433.95,388131
2024-04-04 14:30:00,433.95,434.3,432.85,433.7,326032
2024-04-04 14:45:00,433.7,434.6,432.35,432.4,411760
2024-04-04 15:00:00,432.55,432.55,431.1,431.9,466903
2024-04-04 15:15:00,431.75,434.25,431.75,433.6,1029754
2024-04-05 09:15:00,432.8,432.8,428.25,431.05,753754
2024-04-05 09:30:00,430.9,431.45,428.25,429.6,502410
2024-04-05 09:45:00,429.6,431.1,429.45,430.7,170298
2024-04-05 10:00:00,430.7,432.25,430.05,431.35,343393
2024-04-05 10:15:00,431.5,432.9,431.1,431.95,263857
2024-04-05 10:30:00,432.1,432.45,431.1,431.8,141575
2024-04-05 10:45:00,431.9,432.55,431.6,432.25,141428
2024-04-05 11:00:00,432.25,432.65,431.85,432.35,191758
2024-04-05 11:15:00,432.25,432.75,431.6,432.1,130012
2024-04-05 11:30:00,432.05,432.55,431.75,432.35,96350
2024-04-05 11:45:00,432.35,432.65,431.75,432.25,86965
2024-04-05 12:00:00,432.25,432.25,431.3,431.5,80657
2024-04-05 12:15:00,431.5,432.1,431.2,431.75,69507
2024-04-05 12:30:00,431.75,432.05,431.2,431.65,71764
2024-04-05 12:45:00,431.65,432.05,430.95,431.35,139556
2024-04-05 13:00:00,431.35,431.35,429.7,430.35,193665
2024-04-05 13:15:00,430.25,430.5,429.65,430.3,103267
2024-04-05 13:30:00,430.2,431.3,430.15,431.2,147060
2024-04-05 13:45:00,431.15,431.6,431.1,431.5,94684
2024-04-05 14:00:00,431.3,432.1,431.2,431.35,116700
2024-04-05 14:15:00,431.45,431.75,430.7,430.9,94328
2024-04-05 14:30:00,430.9,431.0,430.3,430.9,188003
2024-04-05 14:45:00,430.9,431.9,430.45,431.35,159605
2024-04-05 15:00:00,431.45,431.65,430.65,431.3,212421
2024-04-05 15:15:00,431.3,431.4,430.75,431.2,290598
2024-04-08 09:15:00,433.05,434.45,431.45,433.65,426019
2024-04-08 09:30:00,433.65,433.95,430.25,430.85,591205
2024-04-08 09:45:00,430.85,431.1,428.75,429.05,308436
2024-04-08 10:00:00,429.0,431.6,428.95,431.5,421369
2024-04-08 10:15:00,431.5,432.1,430.95,431.8,148187
2024-04-08 10:30:00,431.75,432.65,431.55,432.05,125569
