date,open,high,low,close,volume
2024-04-01 09:15:00,523.5,530.6,523.5,530.4,86916
2024-04-01 09:30:00,530.4,530.4,526.25,526.9,40319
2024-04-01 09:45:00,526.9,527.85,526.1,526.1,20953
2024-04-01 10:00:00,526.05,527.15,526.05,526.3,8989
2024-04-01 10:15:00,526.3,526.6,525.8,526.45,13396
2024-04-01 10:30:00,526.7,527.6,526.1,527.3,13436
2024-04-01 10:45:00,527.3,527.35,525.65,526.4,11121
2024-04-01 11:00:00,526.4,526.8,525.3,526.3,14283
2024-04-01 11:15:00,526.3,526.8,526.05,526.35,13229
2024-04-01 11:30:00,526.05,528.9,526.0,527.85,26154
2024-04-01 11:45:00,527.85,528.9,527.6,528.9,14469
2024-04-01 12:00:00,528.9,528.9,527.0,527.0,31620
2024-04-01 12:15:00,527.0,527.35,526.25,526.9,24362
2024-04-01 12:30:00,527.3,527.55,526.9,526.9,3936
2024-04-01 12:45:00,526.9,526.95,526.0,526.65,17122
2024-04-01 13:00:00,526.65,526.95,526.1,526.75,3952
2024-04-01 13:15:00,526.75,527.35,526.25,527.1,12497
2024-04-01 13:30:00,527.05,527.85,526.0,526.15,31085
2024-04-01 13:45:00,526.15,526.75,525.5,525.55,25198
2024-04-01 14:00:00,525.65,526.9,525.2,526.2,37507
2024-04-01 14:15:00,526.2,527.95,525.8,527.3,55964
2024-04-01 14:30:00,527.35,528.0,527.05,527.95,25607
2024-04-01 14:45:00,527.9,529.85,527.75,528.75,82270
2024-04-01 15:00:00,528.8,529.7,528.25,529.55,87776
2024-04-01 15:15:00,529.6,529.9,528.45,529.4,141627
2024-04-02 09:15:00,529.15,532.05,527.65,529.85,123949
2024-04-02 09:30:00,529.8,529.95,529.0,529.7,18089
2024-04-02 09:45:00,529.7,529.8,528.35,528.7,31305
2024-04-02 10:00:00,528.7,529.9,528.7,529.5,25724
2024-04-02 10:15:00,529.35,531.5,529.3,531.25,55845
2024-04-02 10:30:00,531.5,531.8,530.0,530.05,38197
2024-04-02 10:45:00,530.05,530.5,529.45,529.9,13877
2024-04-02 11:00:00,529.3,529.95,529.0,529.95,21382
2024-04-02 11:15:00,529.95,530.8,529.75,530.15,18136
2024-04-02 11:30:00,530.15,530.35,529.5,530.2,19551
2024-04-02 11:45:00,530.2,530.3,529.7,530.05,20518
2024-04-02 12:00:00,530.05,530.5,530.0,530.15,11795
2024-04-02 12:15:00,530.15,530.5,529.9,530.05,22615
2024-04-02 12:30:00,530.05,531.0,530.0,530.75,54606
2024-04-02 12:45:00,530.75,532.55,530.3,530.75,130561
2024-04-02 13:00:00,531.05,531.75,530.6,531.05,36252
2024-04-02 13:15:00,531.05,531.55,530.0,530.8,31054
2024-04-02 13:30:00,530.8,531.05,530.35,530.55,18426
2024-04-02 13:45:00,530.55,531.5,530.45,531.05,17775
2024-04-02 14:00:00,531.05,531.45,530.55,530.75,17572
2024-04-02 14:15:00,530.75,530.9,530.25,530.65,19900
2024-04-02 14:30:00,530.65,531.0,530.35,530.8,19545
2024-04-02 14:45:00,530.8,531.6,530.75,531.5,49135
2024-04-02 15:00:00,531.5,532.5,531.45,532.05,117084
2024-04-02 15:15:00,532.05,532.45,530.75,531.0,240395
2024-04-03 09:15:00,530.9,532.4,529.5,529.65,65395
2024-04-03 09:30:00,529.65,529.9,528.6,529.05,30334
2024-04-03 09:45:00,529.0,530.0,528.8,529.5,16394
2024-04-03 10:00:00,529.5,530.5,529.3,529.5,18022
2024-04-03 10:15:00,529.5,530.5,529.05,529.55,30969
2024-04-03 10:30:00,529.8,530.35,529.35,529.95,14238
2024-04-03 10:45:00,530.0,530.0,529.05,529.3,70923
2024-04-03 11:00:00,529.3,530.45,529.0,530.0,61164
2024-04-03 11:15:00,530.0,530.3,529.45,530.05,37624
2024-04-03 11:30:00,530.05,531.0,529.7,530.6,67565
2024-04-03 11:45:00,530.6,531.0,530.25,530.85,25346
2024-04-03 12:00:00,530.85,531.0,530.3,530.6,31325
2024-04-03 12:15:00,530.6,531.1,530.3,530.55,23490
2024-04-03 12:30:00,530.6,530.8,530.05,530.1,13876
2024-04-03 12:45:00,530.1,531.35,530.05,531.15,26884
2024-04-03 13:00:00,531.15,531.5,530.55,531.35,43787
2024-04-03 13:15:00,531.35,531.95,531.25,531.45,85925
2024-04-03 13:30:00,531.45,531.8,530.55,530.55,44432
2024-04-03 13:45:00,530.55,531.45,530.45,530.75,30898
2024-04-03 14:00:00,530.75,531.3,530.5,530.85,22939
2024-04-03 14:15:00,530.85,531.3,530.4,530.85,14762
2024-04-03 14:30:00,530.85,531.55,530.7,531.1,16538
2024-04-03 14:45:00,531.1,531.7,531.05,531.6,204257
2024-04-03 15:00:00,531.6,531.85,530.25,530.95,72617
2024-04-03 15:15:00,530.95,531.5,530.0,530.85,103393
2024-04-04 09:15:00,531.0,531.95,529.1,530.35,78265
2024-04-04 09:30:00,530.35,530.35,527.6,528.0,94322
2024-04-04 09:45:00,528.0,528.9,526.35,526.7,60121
2024-04-04 10:00:00,526.95,527.35,525.7,526.0,44221
2024-04-04 10:15:00,526.0,527.05,525.35,526.9,136631
2024-04-04 10:30:00,526.9,527.6,526.5,527.6,33716
