date,open,high,low,close,volume
2024-04-01 09:15:00,174.79,176.48,174.12,175.9,1032328
2024-04-01 09:30:00,175.95,177.25,175.75,176.33,1121239
2024-04-01 09:45:00,176.33,176.81,176.0,176.67,379597
2024-04-01 10:00:00,176.72,177.78,176.53,177.3,691567
2024-04-01 10:15:00,177.34,177.59,176.96,177.49,309374
2024-04-01 10:30:00,177.49,177.49,177.06,177.2,337472
2024-04-01 10:45:00,177.2,177.2,176.0,176.43,403847
2024-04-01 11:00:00,176.43,177.06,176.04,176.96,276631
2024-04-01 11:15:00,177.01,177.01,176.43,176.48,168188
2024-04-01 11:30:00,176.48,176.81,176.43,176.53,186637
2024-04-01 11:45:00,176.53,176.67,176.19,176.28,213101
2024-04-01 12:00:00,176.28,176.72,176.24,176.33,113957
2024-04-01 12:15:00,176.38,176.62,176.24,176.38,164831
2024-04-01 12:30:00,176.38,176.43,175.37,175.56,441259
2024-04-01 12:45:00,175.56,176.14,175.51,176.14,198390
2024-04-01 13:00:00,176.14,176.62,175.95,176.57,349123
2024-04-01 13:15:00,176.62,176.77,176.43,176.53,196930
2024-04-01 13:30:00,176.53,176.72,176.28,176.33,143543
2024-04-01 13:45:00,176.28,176.81,176.19,176.67,185306
2024-04-01 14:00:00,176.77,177.01,176.62,176.62,216314
2024-04-01 14:15:00,176.62,176.72,176.19,176.33,136473
2024-04-01 14:30:00,176.38,176.43,176.0,176.04,180640
2024-04-01 14:45:00,176.04,176.24,175.8,175.95,190910
2024-04-01 15:00:00,175.95,176.04,175.22,175.61,466507
2024-04-01 15:15:00,175.66,176.04,175.51,176.04,510857
2024-04-02 09:15:00,176.33,177.59,176.14,177.01,674291
2024-04-02 09:30:00,177.01,177.3,176.38,176.72,334004
2024-04-02 09:45:00,176.72,176.72,174.5,174.98,1210468
2024-04-02 10:00:00,174.98,175.32,173.25,173.73,1808181
2024-04-02 10:15:00,173.73,173.78,172.04,172.62,1530419
2024-04-02 10:30:00,172.72,172.77,171.03,172.67,1562056
2024-04-02 10:45:00,172.72,173.63,172.38,173.2,751892
2024-04-02 11:00:00,173.2,173.68,172.86,173.25,283596
2024-04-02 11:15:00,173.3,173.63,172.96,173.44,366429
2024-04-02 11:30:00,173.54,173.63,173.1,173.15,511035
2024-04-02 11:45:00,173.15,173.63,173.15,173.39,389184
2024-04-02 12:00:00,173.39,174.6,173.39,174.45,1275668
2024-04-02 12:15:00,174.45,174.69,174.31,174.55,645029
2024-04-02 12:30:00,174.55,175.03,174.26,174.98,456540
2024-04-02 12:45:00,174.98,175.37,174.94,175.27,341399
2024-04-02 13:00:00,175.27,175.51,174.98,175.18,413009
2024-04-02 13:15:00,175.22,175.71,174.79,175.56,378614
2024-04-02 13:30:00,175.56,176.19,175.42,176.0,484300
2024-04-02 13:45:00,175.85,176.04,175.51,175.51,340417
2024-04-02 14:00:00,175.51,176.38,175.18,175.95,683146
2024-04-02 14:15:00,176.0,176.24,175.8,176.09,275063
2024-04-02 14:30:00,176.09,176.19,175.85,176.0,261149
2024-04-02 14:45:00,176.0,176.33,175.95,176.28,345693
2024-04-02 15:00:00,176.28,176.81,176.24,176.81,931804
2024-04-02 15:15:00,176.81,176.86,176.33,176.43,909619
2024-04-03 09:15:00,177.3,179.61,175.75,178.89,4057076
2024-04-03 09:30:00,178.74,181.83,178.55,181.49,3502813
2024-04-03 09:45:00,181.44,182.93,181.44,182.4,4314191
2024-04-03 10:00:00,182.36,183.46,182.31,182.6,3389244
2024-04-03 10:15:00,182.5,184.04,181.92,183.75,2893517
