date,open,high,low,close,volume
2024-04-01 09:15:00,570.0,574.0,567.15,569.0,841745
2024-04-01 09:30:00,569.0,571.3,566.7,568.2,365047
2024-04-01 09:45:00,568.2,569.3,568.0,568.8,132676
2024-04-01 10:00:00,568.95,571.55,568.8,570.55,419609
2024-04-01 10:15:00,570.75,571.5,569.1,570.55,572994
2024-04-01 10:30:00,570.4,571.2,569.45,569.45,223008
2024-04-01 10:45:00,569.45,569.85,568.5,569.05,109213
2024-04-01 11:00:00,569.0,569.6,567.25,568.7,138785
2024-04-01 11:15:00,568.7,569.35,566.5,566.9,181396
2024-04-01 11:30:00,566.6,567.35,565.4,565.9,155040
2024-04-01 11:45:00,565.9,567.1,565.4,566.35,222630
2024-04-01 12:00:00,566.45,567.0,565.05,565.35,249128
2024-04-01 12:15:00,565.3,565.75,564.3,564.8,276266
2024-04-01 12:30:00,564.85,568.65,564.8,567.85,567132
2024-04-01 12:45:00,567.8,567.9,565.15,566.3,274217
2024-04-01 13:00:00,566.35,566.75,564.1,565.6,130471
2024-04-01 13:15:00,565.6,567.0,565.5,565.95,128933
2024-04-01 13:30:00,566.0,567.85,565.75,567.3,228932
2024-04-01 13:45:00,567.3,568.5,566.9,568.35,93172
2024-04-01 14:00:00,568.35,569.65,568.15,569.05,119500
2024-04-01 14:15:00,569.05,570.35,568.65,569.6,145066
2024-04-01 14:30:00,569.6,569.75,568.2,568.75,102838
2024-04-01 14:45:00,568.8,569.95,568.6,569.05,89521
2024-04-01 15:00:00,569.2,569.6,568.55,568.75,120533
2024-04-01 15:15:00,568.75,569.2,567.05,568.45,272145
2024-04-02 09:15:00,571.0,571.45,564.6,567.35,365008
2024-04-02 09:30:00,567.45,568.55,566.0,567.6,239318
2024-04-02 09:45:00,567.6,567.6,562.7,563.2,276953
2024-04-02 10:00:00,563.2,565.5,562.7,564.65,174034
2024-04-02 10:15:00,564.7,566.15,562.6,563.45,193856
2024-04-02 10:30:00,563.7,563.75,561.55,562.8,141740
2024-04-02 10:45:00,562.8,564.65,562.4,564.05,101089
2024-04-02 11:00:00,564.05,565.5,563.6,565.15,104188
2024-04-02 11:15:00,565.15,565.9,565.0,565.1,71103
2024-04-02 11:30:00,565.1,567.45,565.1,566.0,121447
2024-04-02 11:45:00,565.95,566.9,565.15,565.45,222667
2024-04-02 12:00:00,565.45,565.8,565.0,565.45,68745
2024-04-02 12:15:00,565.5,567.0,565.3,566.85,83479
2024-04-02 12:30:00,566.8,568.95,566.75,568.6,150834
2024-04-02 12:45:00,568.65,568.75,567.1,567.2,94566
2024-04-02 13:00:00,567.2,567.7,566.25,567.35,96253
2024-04-02 13:15:00,567.3,569.25,565.4,569.25,129289
2024-04-02 13:30:00,569.4,571.75,569.35,570.0,273445
2024-04-02 13:45:00,570.0,570.55,567.6,567.65,184856
2024-04-02 14:00:00,567.65,569.85,567.25,569.65,147232
2024-04-02 14:15:00,569.65,570.35,568.15,568.95,160761
2024-04-02 14:30:00,568.95,570.95,568.9,570.5,139028
2024-04-02 14:45:00,570.5,571.45,570.2,570.85,232797
2024-04-02 15:00:00,570.8,572.3,570.5,570.9,386509
2024-04-02 15:15:00,570.9,571.5,570.0,570.25,453753
2024-04-03 09:15:00,570.2,584.1,567.15,578.5,2154477
2024-04-03 09:30:00,578.45,581.95,577.4,579.9,726267
2024-04-03 09:45:00,579.7,582.75,578.45,582.3,617305
2024-04-03 10:00:00,582.5,582.7,579.3,580.45,343839
2024-04-03 10:15:00,580.15,581.85,577.6,578.9,511130
2024-04-03 10:30:00,578.9,580.3,578.05,578.9,124095
2024-04-03 10:45:00,578.9,579.3,576.3,578.0,212313
2024-04-03 11:00:00,577.8,578.95,577.0,577.35,93547
2024-04-03 11:15:00,577.05,580.5,577.05,580.5,272655
2024-04-03 11:30:00,580.5,580.5,578.4,578.75,84737
2024-04-03 11:45:00,578.75,580.05,578.35,579.8,51086
2024-04-03 12:00:00,579.8,580.2,579.3,580.0,72413
2024-04-03 12:15:00,580.1,581.9,579.95,581.6,200018
2024-04-03 12:30:00,581.6,581.95,580.65,580.95,112092
2024-04-03 12:45:00,581.25,581.6,580.25,580.35,210233
2024-04-03 13:00:00,580.4,580.5,579.05,579.2,81992
2024-04-03 13:15:00,579.2,580.0,579.0,579.45,54502
2024-04-03 13:30:00,579.45,579.7,579.05,579.2,34518
