date,open,high,low,close,volume
2024-04-01 09:15:00,149.71,152.35,149.42,151.61,6996663
2024-04-01 09:30:00,151.71,152.44,151.52,152.01,6377014
2024-04-01 09:45:00,152.01,152.3,151.37,152.25,3441608
2024-04-01 10:00:00,152.3,153.23,152.25,153.13,6957389
2024-04-01 10:15:00,153.18,153.28,152.74,153.08,2902913
2024-04-01 10:30:00,153.08,153.18,152.84,152.93,1562339
2024-04-01 10:45:00,152.93,153.86,152.74,153.76,4200918
2024-04-01 11:00:00,153.81,154.25,153.52,153.96,3649431
2024-04-01 11:15:00,154.06,154.25,153.76,153.86,1550683
2024-04-01 11:30:00,153.86,154.11,153.62,153.91,1878462
2024-04-01 11:45:00,153.91,154.25,153.81,153.91,1320614
2024-04-01 12:00:00,153.91,154.06,153.72,153.86,1598091
2024-04-01 12:15:00,153.86,154.64,153.81,154.35,2661867
2024-04-01 12:30:00,154.35,155.72,154.3,155.62,4673802
2024-04-01 12:45:00,155.62,156.45,155.28,155.96,5272948
2024-04-01 13:00:00,156.06,156.35,155.57,155.91,3003775
2024-04-01 13:15:00,155.87,156.16,155.57,155.72,1897793
2024-04-01 13:30:00,155.72,156.65,155.72,156.35,3220116
2024-04-01 13:45:00,156.4,156.5,155.96,155.96,2171249
2024-04-01 14:00:00,155.96,156.26,155.87,155.87,1601276
2024-04-01 14:15:00,155.87,156.5,155.82,156.06,1880744
2024-04-01 14:30:00,156.06,156.11,155.57,155.87,2728696
2024-04-01 14:45:00,155.87,156.45,155.82,156.11,2617091
2024-04-01 15:00:00,156.16,156.26,155.77,156.16,4420541
2024-04-01 15:15:00,156.16,156.26,155.33,155.57,5676098
2024-04-02 09:15:00,155.72,157.23,154.59,157.04,7605270
2024-04-02 09:30:00,157.09,158.06,156.74,156.74,7663163
2024-04-02 09:45:00,156.79,156.79,155.38,155.47,4840247
2024-04-02 10:00:00,155.47,156.16,155.43,155.77,2844195
2024-04-02 10:15:00,155.77,155.96,154.79,155.23,2942363
2024-04-02 10:30:00,155.13,155.67,154.64,155.67,2831821
2024-04-02 10:45:00,155.67,155.67,155.03,155.38,1528944
2024-04-02 11:00:00,155.43,155.91,155.23,155.67,2265871
2024-04-02 11:15:00,155.62,156.16,155.62,156.16,1598694
2024-04-02 11:30:00,156.16,156.6,155.96,156.06,2253955
2024-04-02 11:45:00,156.06,156.45,155.77,155.96,2127348
2024-04-02 12:00:00,155.96,156.21,155.82,156.11,845494
2024-04-02 12:15:00,156.16,156.65,156.06,156.6,1217770
2024-04-02 12:30:00,156.55,156.89,156.5,156.84,2129930
2024-04-02 12:45:00,156.79,157.14,156.7,156.84,1615051
2024-04-02 13:00:00,156.79,157.09,156.6,156.99,1142911
2024-04-02 13:15:00,156.99,157.72,156.5,157.67,3314454
2024-04-02 13:30:00,157.77,158.21,157.48,157.53,3656439
2024-04-02 13:45:00,157.58,157.72,156.65,156.65,2323861
2024-04-02 14:00:00,156.65,157.62,156.65,157.53,2022846
2024-04-02 14:15:00,157.53,157.58,156.99,157.04,1500743
2024-04-02 14:30:00,157.09,157.53,157.04,157.33,1835417
2024-04-02 14:45:00,157.33,157.67,157.33,157.43,1156464
2024-04-02 15:00:00,157.43,157.82,157.18,157.28,3809827
2024-04-02 15:15:00,157.28,157.62,157.04,157.43,4110816
2024-04-03 09:15:00,157.38,158.85,155.87,158.45,7630691
2024-04-03 09:30:00,158.31,158.5,157.72,157.87,3593800
2024-04-03 09:45:00,157.82,158.94,157.82,158.5,3344695
2024-04-03 10:00:00,158.5,158.8,158.01,158.21,2366637
2024-04-03 10:15:00,158.21,158.21,157.43,157.53,3507219
2024-04-03 10:30:00,157.58,157.87,157.38,157.62,1867451
2024-04-03 10:45:00,157.62,157.67,157.09,157.62,1790078
2024-04-03 11:00:00,157.67,157.87,157.43,157.62,1337315
2024-04-03 11:15:00,157.62,158.21,157.53,158.06,1258686
2024-04-03 11:30:00,158.16,158.16,157.62,157.72,1042692
2024-04-03 11:45:00,157.72,157.77,157.58,157.67,567245
2024-04-03 12:00:00,157.72,157.72,157.62,157.72,451476
2024-04-03 12:15:00,157.72,158.06,157.72,157.97,924304
2024-04-03 12:30:00,158.01,158.16,157.62,157.72,1119218
2024-04-03 12:45:00,157.77,157.87,157.48,157.53,1398940
2024-04-03 13:00:00,157.53,157.67,156.99,156.99,1550578
2024-04-03 13:15:00,156.99,157.43,156.94,157.18,940183
2024-04-03 13:30:00,157.23,157.33,156.99,157.09,1067984
2024-04-03 13:45:00,157.09,157.23,156.74,156.89,1568417
2024-04-03 14:00:00,156.89,157.09,156.55,156.84,1995575
2024-04-03 14:15:00,156.84,157.23,156.84,156.89,1000729
2024-04-03 14:30:00,156.89,156.94,156.3,156.4,2470195
2024-04-03 14:45:00,156.35,156.65,156.26,156.45,1582909
2024-04-03 15:00:00,156.55,156.74,156.3,156.4,2515186
2024-04-03 15:15:00,156.3,156.55,156.21,156.4,3766535
2024-04-04 09:15:00,158.26,158.65,157.28,157.53,6301776
2024-04-04 09:30:00,157.62,157.72,156.84,157.33,3020595
2024-04-04 09:45:00,157.38,157.58,156.26,156.79,2565606
2024-04-04 10:00:00,156.79,157.33,156.5,156.5,1888019
2024-04-04 10:15:00,156.55,157.14,156.5,156.89,1256437
2024-04-04 10:30:00,156.89,156.94,156.35,156.35,1049133
2024-04-04 10:45:00,156.4,156.4,154.69,155.03,4373455
2024-04-04 11:00:00,155.03,155.08,153.81,154.59,4784569
2024-04-04 11:15:00,154.59,154.74,154.11,154.55,2431861
2024-04-04 11:30:00,154.55,155.23,154.4,154.79,2300762
